mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,0.2108057464975658,-22989.437648491272,-11494.613421372387,1.481628179550171,31.807503128051756
train,0,0.0,0.0,0.0,17.145448017120362,32.342984708150226
valid,1,0.5738726717921424,-3537.7744840407295,-1768.6003056844686,0.3782751798629761,31.655309677124023
train,1,0.0,0.0,0.0,0.9164497395356496,32.27813212076823
valid,2,0.6107275617864616,-433.3102715486031,-216.34977199340832,-0.1668463885784149,31.503933334350585
train,2,0.0,0.0,0.0,0.0737991730372111,32.296312713623045
valid,3,0.621308525733544,-35.626097071680874,-17.502394272973667,-0.5795118927955627,31.35337543487549
train,3,0.0,0.0,0.0,-0.40816765030225116,32.17429014841716
valid,4,0.6022144750844427,-16.67567152749094,-8.036728526203248,-0.655815190076828,31.2036563873291
train,4,0.0,0.0,0.0,-0.6482949157555898,32.210630098978676
valid,5,0.6025619755802294,-17.329519006235717,-8.363478515327744,-0.705878746509552,31.054743576049805
train,5,0.0,0.0,0.0,-0.7217668950557709,32.18152001698812
valid,6,0.6213358400511888,-13.790471818506026,-6.584567989227418,-0.7940737903118134,30.906620025634766
train,6,0.0,0.0,0.0,-0.7879712005456289,32.121676190694174
valid,7,0.6308549037217897,-11.279445449854204,-5.324295273066207,-0.8850227653980255,30.7592866897583
train,7,0.0,0.0,0.0,-0.8897540787855784,32.103969955444335
valid,8,0.6642503771296318,-7.795810940990149,-3.565780281930259,-1.0180561900138856,30.61273765563965
train,8,0.0,0.0,0.0,-0.9940184156099955,32.07332369486491
valid,9,0.6875402491702143,-4.981642929102335,-2.147051339966061,-1.1004921197891235,30.466958236694335
train,9,0.0,0.0,0.0,-1.1056597073872885,32.01984697977702
valid,10,0.6921805068634851,-4.808589985459985,-2.05820473929825,-1.1989661931991578,30.321936988830565
train,10,0.0,0.0,0.0,-1.196286145846049,31.99794839223226
valid,11,0.7062593983601886,-3.570985696800114,-1.4323631492199629,-1.262518846988678,30.177674865722658
train,11,0.0,0.0,0.0,-1.2772585511207581,31.994366709391276
valid,12,0.6985882700772204,-3.5354550408674634,-1.4184333853951216,-1.305475378036499,30.0341588973999
train,12,0.0,0.0,0.0,-1.3396339853604635,32.02790451049805
valid,13,0.7076705084820886,-2.840730061773235,-1.0665297766455732,-1.3425955772399902,29.891378784179686
train,13,0.0,0.0,0.0,-1.3839186628659566,31.956529235839845
valid,14,0.7127684546046291,-2.70141299728421,-0.9943222713397903,-1.354170060157776,29.749327850341796
train,14,0.0,0.0,0.0,-1.4015669107437134,31.913968404134113
valid,15,0.7122784920445787,-2.431427921961764,-0.8595747149585925,-1.3619107723236084,29.60800495147705
train,15,0.0,0.0,0.0,-1.4217013676961263,31.882020950317383
valid,16,0.6963627793334989,-3.2229438248575932,-1.2632905227620472,-1.3447609901428224,29.467397117614745
train,16,0.0,0.0,0.0,-1.4296725591023762,31.874059613545736
valid,17,0.7110422789009009,-2.328770039082976,-0.8088638800910376,-1.374443531036377,29.327497673034667
train,17,0.0,0.0,0.0,-1.4384484052658082,31.79882329305013
valid,18,0.7070084916905672,-2.695295478197321,-0.994143493253377,-1.3709603667259216,29.188298416137695
train,18,0.0,0.0,0.0,-1.444355301062266,31.78786735534668
valid,19,0.7082385009164709,-2.7951739958880317,-1.0434677474857803,-1.3716994881629945,29.0497989654541
