mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-26.17987694459803,-108917.58059512867,-54471.88023603664,40.12036895751953,32.21501159667969
train,0,0.0,0.0,0.0,40.389055252075195,32.804439544677734
valid,1,-25.412482486051672,-108296.23276654411,-54160.82262451508,38.993492126464844,32.204750061035156
train,1,0.0,0.0,0.0,39.61740303039551,32.7094669342041
valid,2,-24.03259630764232,-106986.6512522978,-53505.341924302724,36.96701431274414,32.19449996948242
train,2,0.0,0.0,0.0,38.279584884643555,32.73718070983887
valid,3,-21.670993468340704,-104400.31858915441,-52210.99479131138,33.50046157836914,32.184242248535156
train,3,0.0,0.0,0.0,35.95925521850586,32.67042350769043
valid,4,-17.912778714123895,-99652.44801240809,-49835.1803955611,27.99225425720215,32.17399597167969
train,4,0.0,0.0,0.0,32.00913619995117,32.80488586425781
valid,5,-12.571879527148079,-91585.42451746324,-45798.998198495196,20.195533752441406,32.16374969482422
train,5,0.0,0.0,0.0,25.931560516357422,32.709604263305664
valid,6,-6.687494712717393,-79126.08642578125,-39566.386960246986,11.712154388427734,32.15350341796875
train,6,0.0,0.0,0.0,17.759207248687744,32.833412170410156
valid,7,-4.511909947675817,-62790.17856732537,-31397.34523863652,8.934268951416016,32.14326477050781
train,7,0.0,0.0,0.0,10.261628150939941,32.70257568359375
valid,8,-5.141524784705219,-50315.50203929228,-25160.321782038493,10.127967834472656,32.133026123046875
train,8,0.0,0.0,0.0,9.808539390563965,32.81778144836426
valid,9,-2.217235663357903,-44937.44189453125,-22469.829565097305,5.594533920288086,32.1227912902832
train,9,0.0,0.0,0.0,9.352329730987549,32.71050262451172
valid,10,-0.40059880999957814,-43361.76424632353,-21681.082422566764,2.6294875144958496,32.11255645751953
train,10,0.0,0.0,0.0,4.693143367767334,32.590457916259766
valid,11,-0.42304059687782736,-42290.80260512408,-21145.61282286048,2.4901301860809326,32.10232925415039
train,11,0.0,0.0,0.0,2.447090983390808,32.74466133117676
valid,12,-0.6201970138970543,-39530.37758501838,-19765.498891016137,2.709038019180298,32.092105865478516
train,12,0.0,0.0,0.0,2.454505443572998,32.65719032287598
valid,13,-0.29472028858521404,-34583.832490808825,-17292.063605548705,2.222891330718994,32.08189010620117
train,13,0.0,0.0,0.0,2.483050584793091,32.66256141662598
valid,14,0.21499821719001322,-28301.48286707261,-14150.63393442771,1.5118553638458252,32.071678161621094
train,14,0.0,0.0,0.0,1.8623384833335876,32.84854698181152
valid,15,0.33211107289089875,-22233.92346909467,-11116.79567901089,1.4054367542266846,32.06146240234375
train,15,0.0,0.0,0.0,1.3253545761108398,32.65279579162598
valid,16,0.1456619693952448,-17884.68053481158,-8942.267436421092,1.7171696424484253,32.0512580871582
train,16,0.0,0.0,0.0,1.425127387046814,32.7589111328125
valid,17,0.23594031789723566,-15669.205228917739,-7834.484644299921,1.5413968563079834,32.041053771972656
train,17,0.0,0.0,0.0,1.6653925776481628,32.75141716003418
valid,18,0.47524211511892434,-14940.083000631894,-7469.8038792583875,1.0927696228027344,32.03084945678711
train,18,0.0,0.0,0.0,1.3515133261680603,32.774770736694336
valid,19,0.4923321569667143,-14628.084932215073,-7313.796300029054,0.9793717265129089,32.02064895629883
train,19,0.0,0.0,0.0,0.9333207309246063,32.667226791381836
valid,20,0.4193828035803402,-13792.584817325367,-6896.082717260893,1.0327417850494385,32.010459899902344
train,20,0.0,0.0,0.0,0.8333767056465149,32.76112365722656
valid,21,0.47375408866826224,-12179.76422478171,-6089.64523534652,0.927913248538971,32.000267028808594
train,21,0.0,0.0,0.0,0.8467455506324768,32.6853141784668
valid,22,0.6266487749183879,-10075.436387005975,-5037.4048691155285,0.6993368268013,31.99007797241211
train,22,0.0,0.0,0.0,0.7188171446323395,32.637990951538086
valid,23,0.712231350295684,-8054.379013959099,-4026.8333913044016,0.5809637308120728,31.979894638061523
train,23,0.0,0.0,0.0,0.5194810330867767,32.64163780212402
valid,24,0.7027198987848619,-6589.365629308364,-3294.3314547047894,0.5934640169143677,31.96971893310547
train,24,0.0,0.0,0.0,0.453995943069458,32.55771827697754
valid,25,0.7163415516124052,-5776.189804974724,-2887.736731711556,0.5439140796661377,31.959535598754883
train,25,0.0,0.0,0.0,0.48064979910850525,32.6013126373291
valid,26,0.753582510878058,-5420.593602797564,-2709.920010143343,0.4369186758995056,31.949363708496094
train,26,0.0,0.0,0.0,0.4016585946083069,32.67566108703613
valid,27,0.7402382457957548,-5183.3742927102485,-2591.3170272322263,0.4045882225036621,31.939191818237305
train,27,0.0,0.0,0.0,0.2690050005912781,32.618675231933594
valid,28,0.7105118018739364,-4799.377581428079,-2399.3335348131027,0.4084376096725464,31.929027557373047
train,28,0.0,0.0,0.0,0.2473638951778412,32.552560806274414
valid,29,0.7284649540396297,-4180.104427562041,-2089.6879813040005,0.35529619455337524,31.918867111206055
train,29,0.0,0.0,0.0,0.21729913353919983,32.57712745666504
valid,30,0.7697537348550909,-3467.7232755773207,-1733.4767609212329,0.27630794048309326,31.908710479736328
train,30,0.0,0.0,0.0,0.16707995533943176,32.66653633117676
valid,31,0.7868631569778218,-2848.3806744743797,-1423.796905658701,0.2345104217529297,31.8985538482666
train,31,0.0,0.0,0.0,0.08641189336776733,32.673133850097656
valid,32,0.787596748155706,-2420.621088364545,-1209.9167458081945,0.20911741256713867,31.888399124145508
train,32,0.0,0.0,0.0,0.05963808298110962,32.53386116027832
valid,33,0.7922878160196192,-2168.072078929228,-1083.6398955566042,0.16586685180664062,31.878253936767578
train,33,0.0,0.0,0.0,0.04014688730239868,32.54586219787598
valid,34,0.7891287505626678,-1995.0811677820543,-997.1460195157458,0.12969917058944702,31.868112564086914
train,34,0.0,0.0,0.0,-0.017664223909378052,32.61859130859375
valid,35,0.7772199756958905,-1820.0585668227252,-909.6406734235146,0.1093975305557251,31.857969284057617
train,35,0.0,0.0,0.0,-0.06646490097045898,32.55389595031738
valid,36,0.7795277711223153,-1585.8606719970703,-792.540572112974,0.0751340389251709,31.847835540771484
train,36,0.0,0.0,0.0,-0.08140605688095093,32.49570274353027
valid,37,0.7923268973827362,-1330.345812629251,-664.7767428659341,0.029939651489257812,31.83769989013672
train,37,0.0,0.0,0.0,-0.12134653329849243,32.46234321594238
valid,38,0.7998866894665886,-1107.0079148236443,-553.1040140670889,-0.006520390510559082,31.827573776245117
train,38,0.0,0.0,0.0,-0.188632071018219,32.65194892883301
valid,39,0.8014403564088485,-947.0978721169864,-473.1482158802888,-0.03890180587768555,31.817445755004883
