mode,epoch,generative_mean_accuracy,generative_var_accuracy,biolord_metric,reconstruction_loss,unknown_attribute_penalty_loss
valid,0,-11.812005336838181,-135838.7354470679,-67925.27372620237,20.20208168029785,31.90041160583496
train,0,0.0,0.0,0.0,35.589946587880455,32.453749656677246
valid,1,-0.3746791108333994,-62214.734202167645,-31107.554440639236,2.390493333339691,31.839328289031982
train,1,0.0,0.0,0.0,9.072127978006998,32.44345887502035
valid,2,0.029471338831894116,-22994.204686874218,-11497.087607767693,1.588531643152237,31.778382778167725
train,2,0.0,0.0,0.0,1.9652977188428242,32.438501040140785
valid,3,0.5775724790464123,-12604.082625017898,-6301.752526269425,0.5246025770902634,31.7175612449646
train,3,0.0,0.0,0.0,0.9698021113872528,32.4323403040568
valid,4,0.6073080258679135,-6346.130625892638,-3172.7616589333848,0.3015042245388031,31.6568660736084
train,4,0.0,0.0,0.0,0.41590749224026996,32.39569568634033
valid,5,0.6525280238484216,-2765.127673141443,-1382.2375725587974,0.04282526671886444,31.596304416656494
train,5,0.0,0.0,0.0,0.14200887580712637,32.354153633117676
valid,6,0.6648859691309852,-1161.4678255529639,-580.4014697919164,-0.169842928647995,31.535877227783203
train,6,0.0,0.0,0.0,-0.07766332725683849,32.35947243372599
valid,7,0.6686197283427997,-471.0494550987506,-235.19041768520393,-0.3665311187505722,31.475579261779785
train,7,0.0,0.0,0.0,-0.28874244292577106,32.35815588633219
valid,8,0.6710660072925863,-177.9506539429695,-88.63979396783844,-0.5428544282913208,31.415410041809082
train,8,0.0,0.0,0.0,-0.48915159702301025,32.30156024297079
valid,9,0.6637491760912689,-71.72166146642834,-35.528956145168536,-0.66759392619133,31.35537576675415
train,9,0.0,0.0,0.0,-0.6484526693820953,32.29209009806315
valid,10,0.644893638517777,-37.483359369658814,-18.419232865570518,-0.7191784232854843,31.295477390289307
train,10,0.0,0.0,0.0,-0.7482055972019831,32.28689877192179
valid,11,0.6504799620137052,-28.936503616186144,-14.14301182708622,-0.7519043236970901,31.235711097717285
train,11,0.0,0.0,0.0,-0.7996698121229807,32.268454710642494
valid,12,0.6446618620911824,-31.837676508960563,-15.596507323434693,-0.7681072503328323,31.17607307434082
train,12,0.0,0.0,0.0,-0.8350182523330053,32.230372269948326
valid,13,0.6847759965582507,-27.109424980275,-13.212324491858375,-0.8155670315027237,31.116564750671387
train,13,0.0,0.0,0.0,-0.8714049210151037,32.217442671457924
valid,14,0.6650576699981535,-28.26803176720494,-13.801487048603393,-0.8390809744596481,31.057183742523193
train,14,0.0,0.0,0.0,-0.9176364044348398,32.23558759689331
valid,15,0.677961386125224,-24.265279792497545,-11.793659203186161,-0.8846999257802963,30.997928142547607
train,15,0.0,0.0,0.0,-0.956354632973671,32.216838677724205
valid,16,0.6986223120733652,-20.113818276954508,-9.707597982440571,-0.9307054728269577,30.938796997070312
train,16,0.0,0.0,0.0,-1.0084612866242726,32.1822772026062
valid,17,0.7060461134557713,-17.855394148639267,-8.574674017591748,-0.9717331677675247,30.879791736602783
train,17,0.0,0.0,0.0,-1.061049481232961,32.18318716684977
valid,18,0.7047304633666034,-16.394976074994837,-7.845122805814116,-1.0185609310865402,30.820913314819336
train,18,0.0,0.0,0.0,-1.1238921384016674,32.1737650235494
valid,19,0.7312067678451324,-12.990905482566292,-6.1298493573605795,-1.0668537616729736,30.762162685394287
train,19,0.0,0.0,0.0,-1.1774423122406006,32.115841706593834
valid,20,0.718581436768737,-12.90304489042876,-6.092231726830011,-1.1077982783317566,30.703536987304688
train,20,0.0,0.0,0.0,-1.24470849831899,32.10265636444092
